#       xJ          yJ
#  
  1.198300   0.937335
  1.198550   0.935970
  1.198800   0.935550
  1.199050   0.935025
  1.199300   0.934920
  1.199550   0.933765
  1.199800   0.930930
  1.200050   0.930300
  1.200300   0.932190
  1.200550   0.932610
  1.200800   0.931245
  1.201050   0.930510
  1.201300   0.929460
  1.201550   0.925575
  1.201800   0.921795
  1.202050   0.920220
  1.202300   0.919170
  1.202550   0.919170
  1.202800   0.921375
  1.203050   0.923055
  1.203300   0.922950
  1.203550   0.922320
  1.203800   0.921270
  1.204050   0.919380
  1.204300   0.916125
  1.204550   0.913500
  1.204800   0.912345
  1.205050   0.911190
  1.205300   0.910140
  1.205550   0.910560
  1.205800   0.912870
  1.206050   0.915495
  1.206300   0.918855
  1.206550   0.922110
  1.206800   0.923790
  1.207050   0.926310
  1.207300   0.928725
  1.207550   0.928620
  1.207800   0.927360
  1.208050   0.925995
  1.208300   0.925470
  1.208550   0.925260
  1.208800   0.924630
  1.209050   0.922005
  1.209300   0.918225
  1.209550   0.916860
  1.209800   0.918330
  1.210050   0.921585
  1.210300   0.925365
  1.210550   0.928620
  1.210800   0.930090
  1.211050   0.929250
  1.211300   0.926730
  1.211550   0.924210
  1.211800   0.924945
  1.212050   0.927360
  1.212300   0.928935
  1.212550   0.930405
  1.212800   0.930090
  1.213050   0.927570
  1.213300   0.925995
  1.213550   0.926835
  1.213800   0.929040
  1.214050   0.932085
  1.214300   0.936495
  1.214550   0.941115
  1.214800   0.943740
  1.215050   0.944790
  1.215300   0.945945
  1.215550   0.946260
  1.215800   0.947520
  1.216050   0.949725
  1.216300   0.948360
  1.216550   0.943530
  1.216800   0.940380
  1.217050   0.941220
  1.217300   0.943845
  1.217550   0.947835
  1.217800   0.953400
  1.218050   0.956865
  1.218300   0.956865
  1.218550   0.955395
  1.218800   0.953820
  1.219050   0.952770
  1.219300   0.953505
  1.219550   0.955500
  1.219800   0.955920
  1.220050   0.956760
  1.220300   0.960120
  1.220550   0.963375
  1.220800   0.964635
  1.221050   0.965580
  1.221300   0.969150
  1.221550   0.973350
  1.221800   0.976290
  1.222050   0.978390
  1.222300   0.978705
  1.222550   0.978495
  1.222800   0.979755
  1.223050   0.982485
  1.223300   0.985320
  1.223550   0.986475
  1.223800   0.984270
  1.224050   0.979650
  1.224300   0.975030
  1.224550   0.972720
  1.224800   0.973560
  1.225050   0.976290
  1.225300   0.977655
  1.225550   0.975975
  1.225800   0.973560
  1.226050   0.971775
  1.226300   0.970725
  1.226550   0.970620
  1.226800   0.971145
  1.227050   0.970305
  1.227300   0.968205
  1.227550   0.967680
  1.227800   0.967470
  1.228050   0.967155
  1.228300   0.969045
  1.228550   0.970515
  1.228800   0.969465
  1.229050   0.968100
  1.229300   0.967575
  1.229550   0.966945
  1.229800   0.965580
  1.230050   0.965895
  1.230300   0.965895
  1.230550   0.964215
  1.230800   0.964110
  1.231050   0.965160
  1.231300   0.966525
  1.231550   0.968100
  1.231800   0.969255
  1.232050   0.967995
  1.232300   0.964845
  1.232550   0.964320
  1.232800   0.965790
  1.233050   0.967785
  1.233300   0.970515
  1.233550   0.973035
  1.233800   0.973350
  1.234050   0.972090
  1.234300   0.970620
  1.234550   0.968415
  1.234800   0.966840
  1.235050   0.966735
  1.235300   0.967575
  1.235550   0.969150
  1.235800   0.970095
  1.236050   0.969780
  1.236300   0.968310
  1.236550   0.965790
  1.236800   0.963690
  1.237050   0.963690
  1.237300   0.965895
  1.237550   0.968310
  1.237800   0.969570
  1.238050   0.971670
  1.238300   0.972720
  1.238550   0.970200
  1.238800   0.967680
  1.239050   0.966630
